GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_902707835.2	20526438	N/A	N/A	
GCA_902707855.2	20526638	N/A	N/A	
GCA_902707805.2	20526708	N/A	N/A	
GCA_902707725.2	20526868	N/A	N/A	
GCA_902707735.2	20527038	N/A	N/A	
GCA_902707755.2	20527158	N/A	N/A	
GCA_902707845.2	20527278	N/A	N/A	
GCA_902707775.2	20527408	N/A	N/A	
GCA_902707915.2	20527538	N/A	N/A	
GCA_902707945.2	20527668	N/A	N/A	
GCA_902707955.2	20527808	N/A	N/A	
GCA_902707965.2	20527908	N/A	N/A	
GCA_902707935.2	20527938	N/A	N/A	
GCA_902707925.2	20528148	N/A	N/A	
GCA_902708045.2	20528228	N/A	N/A	
GCA_902708025.2	20528398	N/A	N/A	
GCA_902708035.2	20528428	N/A	N/A	
GCA_902708015.2	20528498	N/A	N/A	
GCA_902707995.2	20528588	N/A	N/A	
GCA_902707985.2	20528718	N/A	N/A	
GCA_902708155.2	20528788	N/A	N/A	
GCA_902708125.2	20528918	N/A	N/A	
GCA_902708075.2	20528998	N/A	N/A	
GCA_902708105.2	20529128	N/A	N/A	
GCA_902708165.2	20529218	N/A	N/A	
GCA_902708065.2	20529348	N/A	N/A	
GCA_902708115.2	20529448	N/A	N/A	
GCA_902708175.2	20529478	N/A	N/A	
GCA_902708135.2	20529628	N/A	N/A	
GCA_902708095.2	20529698	N/A	N/A	
GCA_902708215.2	20529808	N/A	N/A	
GCA_902708085.2	20529848	N/A	N/A	
GCA_902708205.2	20529988	N/A	N/A	
GCA_902708185.2	20530028	N/A	N/A	
GCA_902708195.2	20530148	N/A	N/A	
GCA_902708145.2	20530228	N/A	N/A	
GCA_902708055.2	20530328	N/A	N/A	
GCA_902708255.2	20530428	N/A	N/A	
GCA_902708265.2	20530548	N/A	N/A	
GCA_902708235.2	20530608	N/A	N/A	
GCA_902708225.2	20530718	N/A	N/A	
GCA_902708245.2	20530808	N/A	N/A	
GCA_902708275.2	20530878	N/A	N/A	
GCA_902708285.2	20531008	N/A	N/A	
GCA_902708315.2	20531088	N/A	N/A	
GCA_902708305.2	20531188	N/A	N/A	
GCA_902708295.2	20531308	N/A	N/A	
GCA_902708395.2	20531348	N/A	N/A	
GCA_902708425.2	20531408	N/A	N/A	
GCA_902708445.2	20531498	N/A	N/A	
GCA_902708325.2	20531568	N/A	N/A	
GCA_902708375.2	20531598	N/A	N/A	
GCA_902708405.2	20531728	N/A	N/A	
GCA_902708415.2	20531868	N/A	N/A	
GCA_902708385.2	20531908	N/A	N/A	
GCA_902708345.2	20532028	N/A	N/A	
GCA_902708365.2	20532128	N/A	N/A	
GCA_902708435.2	20532208	N/A	N/A	
GCA_902708355.2	20532288	N/A	N/A	
GCA_902708335.2	20532428	N/A	N/A	
GCA_902708485.2	20532538	N/A	N/A	
GCA_902708535.2	20532648	N/A	N/A	
GCA_902708515.2	20532778	N/A	N/A	
GCA_902708525.2	20532838	N/A	N/A	
GCA_902708555.2	20532948	N/A	N/A	
GCA_902708545.2	20533088	N/A	N/A	
GCA_902708505.2	20533188	N/A	N/A	
GCA_902708455.2	20533288	N/A	N/A	
GCA_902708495.2	20533398	N/A	N/A	
GCA_902708475.2	20533468	N/A	N/A	
GCA_902708465.2	20533488	N/A	N/A	
GCA_902708575.2	20533578	N/A	N/A	
GCA_902708595.2	20533648	N/A	N/A	
GCA_902708565.2	20533768	N/A	N/A	
GCA_902708625.2	20533878	N/A	N/A	
GCA_902708605.2	20533968	N/A	N/A	
GCA_902708615.2	20534068	N/A	N/A	
GCA_902708585.2	20534168	N/A	N/A	
GCA_902708655.2	20534278	N/A	N/A	
GCA_902708675.2	20534388	N/A	N/A	
GCA_902708635.2	20534478	N/A	N/A	
GCA_902708665.2	20534608	N/A	N/A	
GCA_902708685.2	20534738	N/A	N/A	
GCA_902708645.2	20534848	N/A	N/A	
GCA_902708805.2	20534968	N/A	N/A	
GCA_902708705.2	20535068	N/A	N/A	
GCA_902708735.2	20535178	N/A	N/A	
GCA_902708785.2	20535288	N/A	N/A	
GCA_902708715.2	20535398	N/A	N/A	
GCA_902708795.2	20535468	N/A	N/A	
GCA_902708725.2	20535568	N/A	N/A	
GCA_902708815.2	20535648	N/A	N/A	
GCA_902708745.2	20535738	N/A	N/A	
GCA_902708765.2	20535878	N/A	N/A	
GCA_902708755.2	20536028	N/A	N/A	
GCA_902708775.2	20536168	N/A	N/A	
GCA_902708695.2	20536308	N/A	N/A	
GCA_902708835.2	20536398	N/A	N/A	
GCA_902708845.2	20536528	N/A	N/A	
GCA_902708825.2	20536618	N/A	N/A	
GCA_902708865.2	20536738	N/A	N/A	
GCA_902708925.2	20536848	N/A	N/A	
GCA_902708905.2	20536898	N/A	N/A	
GCA_902708885.2	20537008	N/A	N/A	
GCA_902708935.2	20537048	N/A	N/A	
GCA_902708915.2	20537138	N/A	N/A	
GCA_902708895.2	20537188	N/A	N/A	
GCA_902708855.2	20537298	N/A	N/A	
GCA_902708945.2	20537348	N/A	N/A	
GCA_902708875.2	20537468	N/A	N/A	
GCA_902709105.2	20537538	N/A	N/A	
GCA_902709135.2	20537628	N/A	N/A	
GCA_902709115.2	20537738	N/A	N/A	
GCA_902709085.2	20537828	N/A	N/A	
GCA_902708985.2	20537918	N/A	N/A	
GCA_902708955.2	20537988	N/A	N/A	
GCA_902709145.2	20538078	N/A	N/A	
GCA_902708965.2	20538168	N/A	N/A	
GCA_902709095.2	20538248	N/A	N/A	
GCA_902709055.2	20538348	N/A	N/A	
GCA_902708975.2	20538448	N/A	N/A	
GCA_902709125.2	20538508	N/A	N/A	
GCA_902709065.2	20538608	N/A	N/A	
GCA_902709035.2	20538708	N/A	N/A	
GCA_902709075.2	20538788	N/A	N/A	
GCA_902709015.2	20538848	N/A	N/A	
GCA_902709045.2	20538968	N/A	N/A	
GCA_902709005.2	20539018	N/A	N/A	
GCA_902709025.2	20539108	N/A	N/A	
GCA_902708995.2	20539198	N/A	N/A	
GCA_902709305.2	20539268	N/A	N/A	
GCA_902709335.2	20539348	N/A	N/A	
GCA_902709195.2	20539438	N/A	N/A	
GCA_902709185.2	20539488	N/A	N/A	
GCA_902709255.2	20539588	N/A	N/A	
GCA_902709285.2	20539658	N/A	N/A	
GCA_902709245.2	20539738	N/A	N/A	
GCA_902709205.2	20539808	N/A	N/A	
GCA_902709325.2	20539908	N/A	N/A	
GCA_902709235.2	20539948	N/A	N/A	
GCA_902709275.2	20540068	N/A	N/A	
GCA_902709315.2	20540088	N/A	N/A	
GCA_902709215.2	20540188	N/A	N/A	
GCA_902709165.2	20540228	N/A	N/A	
GCA_902709295.2	20540328	N/A	N/A	
GCA_902709225.2	20540388	N/A	N/A	
GCA_902709155.2	20540468	N/A	N/A	
GCA_902709345.2	20540548	N/A	N/A	
GCA_902709175.2	20540608	N/A	N/A	
GCA_902709265.2	20540688	N/A	N/A	
GCA_902709395.2	20540708	N/A	N/A	
GCA_902709405.2	20540828	N/A	N/A	
GCA_902709505.2	20540888	N/A	N/A	
